"Sensor: 1_AIT_001_PV, Media: 167.4, Desviacion Tipica: 2.2, Minimo: 162.6, P25: 166.5, P75: 169.0, Maximo: 172.6, varianza: 4.9, skew: 169.0, kurt: -0.3"
"Sensor: 1_AIT_002_PV, Media: 0.6, Desviacion Tipica: 0.1, Minimo: 0.5, P25: 0.6, P75: 0.7, Maximo: 1.2, varianza: 0.0, skew: 0.7, kurt: 3.2"
"Sensor: 1_AIT_003_PV, Media: 11.6, Desviacion Tipica: 0.0, Minimo: 11.5, P25: 11.5, P75: 11.6, Maximo: 11.7, varianza: 0.0, skew: 11.6, kurt: 0.5"
"Sensor: 1_AIT_004_PV, Media: 505.4, Desviacion Tipica: 9.6, Minimo: 473.6, P25: 498.3, P75: 513.8, Maximo: 518.8, varianza: 91.3, skew: 513.8, kurt: -0.4"
"Sensor: 1_AIT_005_PV, Media: 0.3, Desviacion Tipica: 0.1, Minimo: 0.2, P25: 0.2, P75: 0.3, Maximo: 0.4, varianza: 0.0, skew: 0.3, kurt: -1.4"
"Sensor: 1_FIT_001_PV, Media: 0.5, Desviacion Tipica: 0.8, Minimo: 0.0, P25: 0.0, P75: 1.9, Maximo: 2.0, varianza: 0.7, skew: 1.9, kurt: -0.8"
"Sensor: 1_LS_001_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 1_LS_002_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 1_LT_001_PV, Media: 55.1, Desviacion Tipica: 8.0, Minimo: 38.8, P25: 48.0, P75: 61.3, Maximo: 71.6, varianza: 64.1, skew: 61.3, kurt: -0.9"
"Sensor: 1_MV_001_STATUS, Media: 1.3, Desviacion Tipica: 0.4, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -0.7"
"Sensor: 1_MV_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_MV_003_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_MV_004_STATUS, Media: 1.2, Desviacion Tipica: 0.4, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -0.7"
"Sensor: 1_P_001_STATUS, Media: 1.3, Desviacion Tipica: 0.4, Minimo: 1.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -0.8"
"Sensor: 1_P_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_P_003_STATUS, Media: 1.3, Desviacion Tipica: 0.4, Minimo: 1.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -0.8"
"Sensor: 1_P_004_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_P_005_STATUS, Media: 1.2, Desviacion Tipica: 0.4, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.2, skew: 1.0, kurt: -0.1"
"Sensor: 1_P_006_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_DPIT_001_PV, Media: 2512.0, Desviacion Tipica: 154.3, Minimo: 153.2, P25: 2510.2, P75: 2573.2, Maximo: 2677.7, varianza: 23819.4, skew: 2573.2, kurt: 89.7"
"Sensor: 2_FIC_101_CO, Media: 68.9, Desviacion Tipica: 36.0, Minimo: 8.5, P25: 28.1, P75: 100.0, Maximo: 100.0, varianza: 1296.8, skew: 100.0, kurt: -1.7"
"Sensor: 2_FIC_101_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 2.0, varianza: 0.0, skew: 0.1, kurt: 34.9"
"Sensor: 2_FIC_101_SP, Media: 0.2, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.3, Maximo: 0.5, varianza: 0.0, skew: 0.3, kurt: -0.5"
"Sensor: 2_FIC_201_CO, Media: 68.0, Desviacion Tipica: 36.9, Minimo: 9.2, P25: 25.7, P75: 100.0, Maximo: 100.0, varianza: 1363.1, skew: 100.0, kurt: -1.8"
"Sensor: 2_FIC_201_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.1, P75: 0.1, Maximo: 2.5, varianza: 0.0, skew: 0.1, kurt: 34.2"
"Sensor: 2_FIC_201_SP, Media: 0.2, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.3, Maximo: 0.4, varianza: 0.0, skew: 0.3, kurt: -0.6"
"Sensor: 2_FIC_301_CO, Media: 70.1, Desviacion Tipica: 37.6, Minimo: 6.1, P25: 26.2, P75: 100.0, Maximo: 100.0, varianza: 1415.7, skew: 100.0, kurt: -1.6"
"Sensor: 2_FIC_301_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 2.6, varianza: 0.0, skew: 0.1, kurt: 105.6"
"Sensor: 2_FIC_301_SP, Media: 0.2, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.3, Maximo: 0.5, varianza: 0.0, skew: 0.3, kurt: 0.6"
"Sensor: 2_FIC_401_CO, Media: 66.1, Desviacion Tipica: 38.1, Minimo: 7.2, P25: 23.7, P75: 100.0, Maximo: 100.0, varianza: 1455.2, skew: 100.0, kurt: -1.8"
"Sensor: 2_FIC_401_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 2.3, varianza: 0.0, skew: 0.1, kurt: 45.9"
"Sensor: 2_FIC_401_SP, Media: 0.2, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.3, Maximo: 0.5, varianza: 0.0, skew: 0.3, kurt: -0.1"
"Sensor: 2_FIC_501_CO, Media: 62.5, Desviacion Tipica: 39.6, Minimo: 5.2, P25: 20.5, P75: 100.0, Maximo: 100.0, varianza: 1572.5, skew: 100.0, kurt: -1.9"
"Sensor: 2_FIC_501_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 1.9, varianza: 0.0, skew: 0.1, kurt: 25.9"
"Sensor: 2_FIC_501_SP, Media: 0.2, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.2, Maximo: 0.5, varianza: 0.0, skew: 0.2, kurt: 0.0"
"Sensor: 2_FIC_601_CO, Media: 52.1, Desviacion Tipica: 37.7, Minimo: 6.1, P25: 19.7, P75: 100.0, Maximo: 100.0, varianza: 1419.9, skew: 100.0, kurt: -1.7"
"Sensor: 2_FIC_601_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.1, P75: 0.1, Maximo: 1.8, varianza: 0.0, skew: 0.1, kurt: 23.3"
"Sensor: 2_FIC_601_SP, Media: 0.2, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.3, Maximo: 0.5, varianza: 0.0, skew: 0.3, kurt: 0.5"
"Sensor: 2_FIT_001_PV, Media: 0.5, Desviacion Tipica: 0.9, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 2.3, varianza: 0.8, skew: 0.0, kurt: -0.1"
"Sensor: 2_FIT_002_PV, Media: 0.3, Desviacion Tipica: 0.2, Minimo: 0.0, P25: 0.0, P75: 0.5, Maximo: 0.8, varianza: 0.1, skew: 0.5, kurt: -1.4"
"Sensor: 2_FIT_003_PV, Media: 0.2, Desviacion Tipica: 0.6, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 4.7, varianza: 0.3, skew: 0.0, kurt: 11.0"
"Sensor: 2_FQ_101_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 2.0, varianza: 0.0, skew: 0.1, kurt: 34.5"
"Sensor: 2_FQ_201_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.1, P75: 0.1, Maximo: 2.5, varianza: 0.0, skew: 0.1, kurt: 34.4"
"Sensor: 2_FQ_301_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 2.6, varianza: 0.0, skew: 0.1, kurt: 109.2"
"Sensor: 2_FQ_401_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 2.3, varianza: 0.0, skew: 0.1, kurt: 46.0"
"Sensor: 2_FQ_501_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 2.0, varianza: 0.0, skew: 0.1, kurt: 26.7"
"Sensor: 2_FQ_601_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.1, P75: 0.1, Maximo: 1.8, varianza: 0.0, skew: 0.1, kurt: 22.9"
"Sensor: 2_LS_001_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_002_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
