"Sensor: 1_AIT_001_PV, Media: 169.1, Desviacion Tipica: 0.1, Minimo: 168.9, P25: 169.1, P75: 169.2, Maximo: 169.3, varianza: 0.0, skew: 169.2, kurt: 0.1"
"Sensor: 1_AIT_002_PV, Media: 0.6, Desviacion Tipica: 0.0, Minimo: 0.6, P25: 0.6, P75: 0.6, Maximo: 0.8, varianza: 0.0, skew: 0.6, kurt: 9.2"
"Sensor: 1_AIT_003_PV, Media: 11.6, Desviacion Tipica: 0.0, Minimo: 11.6, P25: 11.6, P75: 11.6, Maximo: 11.6, varianza: 0.0, skew: 11.6, kurt: -0.1"
"Sensor: 1_AIT_004_PV, Media: 504.2, Desviacion Tipica: 0.3, Minimo: 503.9, P25: 503.9, P75: 504.6, Maximo: 504.8, varianza: 0.1, skew: 504.6, kurt: -1.6"
"Sensor: 1_AIT_005_PV, Media: 0.3, Desviacion Tipica: 0.0, Minimo: 0.3, P25: 0.3, P75: 0.3, Maximo: 0.3, varianza: 0.0, skew: 0.3, kurt: -1.0"
"Sensor: 1_FIT_001_PV, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.3"
"Sensor: 1_LS_001_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 1_LS_002_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 1_LT_001_PV, Media: 47.8, Desviacion Tipica: 2.2, Minimo: 44.9, P25: 46.7, P75: 46.9, Maximo: 54.2, varianza: 4.9, skew: 46.9, kurt: 1.3"
"Sensor: 1_MV_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_MV_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_MV_003_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_MV_004_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_P_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_P_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_P_003_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_P_004_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 1_P_005_STATUS, Media: 1.2, Desviacion Tipica: 0.4, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.2, skew: 1.0, kurt: -0.2"
"Sensor: 1_P_006_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_DPIT_001_PV, Media: 2519.3, Desviacion Tipica: 187.9, Minimo: 495.6, P25: 2538.0, P75: 2550.1, Maximo: 2559.8, varianza: 35314.4, skew: 2550.1, kurt: 115.8"
"Sensor: 2_FIC_101_CO, Media: 23.5, Desviacion Tipica: 4.8, Minimo: 10.0, P25: 19.8, P75: 28.0, Maximo: 29.0, varianza: 23.0, skew: 28.0, kurt: 0.1"
"Sensor: 2_FIC_101_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.9, varianza: 0.0, skew: 0.1, kurt: 74.9"
"Sensor: 2_FIC_101_SP, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.8"
"Sensor: 2_FIC_201_CO, Media: 33.0, Desviacion Tipica: 14.4, Minimo: 20.4, P25: 21.8, P75: 38.1, Maximo: 72.0, varianza: 208.1, skew: 38.1, kurt: 0.5"
"Sensor: 2_FIC_201_PV, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.6"
"Sensor: 2_FIC_201_SP, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.8"
"Sensor: 2_FIC_301_CO, Media: 38.9, Desviacion Tipica: 25.0, Minimo: 17.8, P25: 19.9, P75: 55.2, Maximo: 100.0, varianza: 624.4, skew: 55.2, kurt: -0.2"
